year;month;m;temperature
1750;1;jan;-0.4
1750;2;feb;3.3
1750;3;mar;6.4
1750;4;apr;8
1750;5;mai;12.2
1750;6;jun;15.5
1750;7;jul;18.5
1750;8;aug;16.8
1750;9;sep;13.4
1750;10;oct;6.1
1750;11;nov;
1750;12;dec;-0.2
1751;1;jan;-1.1
1751;2;feb;-2.5
1751;3;mar;5.1
1751;4;apr;6.4
1751;5;mai;
1751;6;jun;16.2
1751;7;jul;17.5
1751;8;aug;17.5
1751;9;sep;12.5
1751;10;oct;
1751;11;nov;
1751;12;dec;
1752;1;jan;-1.1
1752;2;feb;
1752;3;mar;4.3
1752;4;apr;7.3
1752;5;mai;
1752;6;jun;
1752;7;jul;
1752;8;aug;
1752;9;sep;
1752;10;oct;8.4
1752;11;nov;4.9
1752;12;dec;1.6
1753;1;jan;-3.2
1753;2;feb;-0.4
1753;3;mar;4.9
1753;4;apr;8.1
1753;5;mai;12.4
1753;6;jun;16.8
1753;7;jul;17.7
1753;8;aug;16
1753;9;sep;13.9
1753;10;oct;9
1753;11;nov;2.3
1753;12;dec;-1.2
1754;1;jan;-1.7
1754;2;feb;-1.7
1754;3;mar;0.3
1754;4;apr;6.9
1754;5;mai;13.3
1754;6;jun;15.8
1754;7;jul;16.1
1754;8;aug;16.9
1754;9;sep;13
1754;10;oct;9.5
1754;11;nov;4.3
1754;12;dec;0.4
1755;1;jan;-6
1755;2;feb;-4.7
1755;3;mar;2.3
1755;4;apr;10.5
1755;5;mai;12.2
1755;6;jun;18
1755;7;jul;17.6
1755;8;aug;15.7
1755;9;sep;12.4
1755;10;oct;7.8
1755;11;nov;3.4
1755;12;dec;1.2
1756;1;jan;1.7
1756;2;feb;2.2
1756;3;mar;4
1756;4;apr;6.5
1756;5;mai;11.6
1756;6;jun;18
1756;7;jul;18.4
1756;8;aug;16.2
1756;9;sep;14.6
1756;10;oct;8.3
1756;11;nov;1.6
1756;12;dec;-2.1
1757;1;jan;-3
1757;2;feb;0.7
1757;3;mar;3.6
1757;4;apr;8.6
1757;5;mai;12.2
1757;6;jun;17.3
1757;7;jul;20.9
1757;8;aug;17.4
1757;9;sep;12.2
1757;10;oct;4.5
1757;11;nov;4.2
1757;12;dec;-1.3
1758;1;jan;-4.6
1758;2;feb;-0.5
1758;3;mar;3.3
1758;4;apr;6.3
1758;5;mai;13.9
1758;6;jun;16.7
1758;7;jul;15.5
1758;8;aug;17.1
1758;9;sep;11.8
1758;10;oct;6.5
1758;11;nov;3.93
1758;12;dec;0.6
1759;1;jan;1.4
1759;2;feb;2.1
1759;3;mar;4.3
1759;4;apr;7.7
1759;5;mai;11.6
1759;6;jun;16.7
1759;7;jul;19.5
1759;8;aug;17.5
1759;9;sep;13.5
1759;10;oct;9.3
1759;11;nov;0.5
1759;12;dec;-3.1
1760;1;jan;-2.8
1760;2;feb;-0.9
1760;3;mar;2.1
1760;4;apr;8.2
1760;5;mai;12.8
1760;6;jun;16.9
1760;7;jul;17.7
1760;8;aug;16.8
1760;9;sep;14.6
1760;10;oct;8.6
1760;11;nov;3.8
1760;12;dec;2.9
1761;1;jan;-1.6
1761;2;feb;1.7
1761;3;mar;5
1761;4;apr;7.1
1761;5;mai;13.3
1761;6;jun;16.6
1761;7;jul;16.2
1761;8;aug;17.7
1761;9;sep;14.2
1761;10;oct;6.1
1761;11;nov;3
1761;12;dec;-3.3
1762;1;jan;0.4
1762;2;feb;-0.6
1762;3;mar;0.1
1762;4;apr;9.6
1762;5;mai;12.9
1762;6;jun;15.7
1762;7;jul;17.3
1762;8;aug;14.9
1762;9;sep;12.6
1762;10;oct;5.9
1762;11;nov;2
1762;12;dec;-3.3
1763;1;jan;-6.7
1763;2;feb;2.1
1763;3;mar;1.5
1763;4;apr;6.5
1763;5;mai;10.6
1763;6;jun;15.5
1763;7;jul;17
1763;8;aug;17.4
1763;9;sep;11.7
1763;10;oct;6.4
1763;11;nov;3
1763;12;dec;2.1
1764;1;jan;2.1
1764;2;feb;2.6
1764;3;mar;1.6
1764;4;apr;6.5
1764;5;mai;13.8
1764;6;jun;15.8
1764;7;jul;18.3
1764;8;aug;15.2
1764;9;sep;10.9
1764;10;oct;6.5
1764;11;nov;2.3
1764;12;dec;-0.9
1765;1;jan;0.4
1765;2;feb;-3.5
1765;3;mar;4.7
1765;4;apr;7.9
1765;5;mai;10.7
1765;6;jun;15.9
1765;7;jul;15.1
1765;8;aug;16.9
1765;9;sep;12.1
1765;10;oct;9
1765;11;nov;2.7
1765;12;dec;-1.3
1766;1;jan;-4.3
1766;2;feb;-1.7
1766;3;mar;3
1766;4;apr;9.1
1766;5;mai;12.8
1766;6;jun;15.7
1766;7;jul;16.3
1766;8;aug;16.5
1766;9;sep;13.5
1766;10;oct;7.9
1766;11;nov;3.2
1766;12;dec;-1.3
1767;1;jan;-7.2
1767;2;feb;2.7
1767;3;mar;2.7
1767;4;apr;5.6
1767;5;mai;10.4
1767;6;jun;14.1
1767;7;jul;16.3
1767;8;aug;16.9
1767;9;sep;13.4
1767;10;oct;8.5
1767;11;nov;5.6
1767;12;dec;-2.3
1768;1;jan;-5
1768;2;feb;-0.3
1768;3;mar;1.1
1768;4;apr;7.1
1768;5;mai;11.9
1768;6;jun;15.4
1768;7;jul;17.1
1768;8;aug;16.4
1768;9;sep;11.6
1768;10;oct;7.7
1768;11;nov;4.1
1768;12;dec;0.3
1769;1;jan;-0.3
1769;2;feb;-0.3
1769;3;mar;2.4
1769;4;apr;7.7
1769;5;mai;11.6
1769;6;jun;14.4
1769;7;jul;16.7
1769;8;aug;15.8
1769;9;sep;13.3
1769;10;oct;4.6
1769;11;nov;3.8
1769;12;dec;0.6
1770;1;jan;-1.6
1770;2;feb;-0.5
1770;3;mar;0
1770;4;apr;4.9
1770;5;mai;11.7
1770;6;jun;14.6
1770;7;jul;16
1770;8;aug;17
1770;9;sep;14.6
1770;10;oct;8.1
1770;11;nov;3.6
1770;12;dec;1.8
1771;1;jan;-2.4
1771;2;feb;-2.5
1771;3;mar;-0.5
1771;4;apr;3.5
1771;5;mai;14.2
1771;6;jun;15
1771;7;jul;16.4
1771;8;aug;15
1771;9;sep;12.8
1771;10;oct;8.6
1771;11;nov;1.8
1771;12;dec;1.4
1772;1;jan;-1.8
1772;2;feb;0.8
1772;3;mar;3.6
1772;4;apr;6.2
1772;5;mai;10
1772;6;jun;16.8
1772;7;jul;16.5
1772;8;aug;16.4
1772;9;sep;14.2
1772;10;oct;10.6
1772;11;nov;5.5
1772;12;dec;1
1773;1;jan;1.1
1773;2;feb;-2.2
1773;3;mar;2.5
1773;4;apr;7.4
1773;5;mai;12.7
1773;6;jun;15
1773;7;jul;15.9
1773;8;aug;16.9
1773;9;sep;13.7
1773;10;oct;9.9
1773;11;nov;3.7
1773;12;dec;2.2
1774;1;jan;-1.4
1774;2;feb;0.9
1774;3;mar;5.1
1774;4;apr;8.8
1774;5;mai;12.1
1774;6;jun;16.3
1774;7;jul;16.3
1774;8;aug;16.7
1774;9;sep;11.9
1774;10;oct;8
1774;11;nov;-0.6
1774;12;dec;-2.2
1775;1;jan;-1.4
1775;2;feb;2.9
1775;3;mar;4.2
1775;4;apr;6.3
1775;5;mai;10.6
1775;6;jun;17.6
1775;7;jul;17.3
1775;8;aug;17.8
1775;9;sep;14.7
1775;10;oct;8.8
1775;11;nov;2
1775;12;dec;-0.3
1776;1;jan;-7.9
1776;2;feb;1.3
1776;3;mar;4
1776;4;apr;7.1
1776;5;mai;10.1
1776;6;jun;15.5
1776;7;jul;17.5
1776;8;aug;16.7
1776;9;sep;12.2
1776;10;oct;7.5
1776;11;nov;2.5
1776;12;dec;-1.4
1777;1;jan;-3.1
1777;2;feb;-2.6
1777;3;mar;3.3
1777;4;apr;5.1
1777;5;mai;12
1777;6;jun;14.7
1777;7;jul;15.7
1777;8;aug;16.8
1777;9;sep;12.3
1777;10;oct;8.3
1777;11;nov;4.3
1777;12;dec;-1.3
1778;1;jan;-1.6
1778;2;feb;-1.9
1778;3;mar;2.8
1778;4;apr;9
1778;5;mai;13
1778;6;jun;15.8
1778;7;jul;19
1778;8;aug;17.7
1778;9;sep;11.7
1778;10;oct;6.9
1778;11;nov;4.4
1778;12;dec;3.7
1779;1;jan;-3.9
1779;2;feb;2.8
1779;3;mar;4.8
1779;4;apr;10
1779;5;mai;13.5
1779;6;jun;14.8
1779;7;jul;16.9
1779;8;aug;17.9
1779;9;sep;14.8
1779;10;oct;10.4
1779;11;nov;4.1
1779;12;dec;2.8
1780;1;jan;-3.8
1780;2;feb;-3
1780;3;mar;5.8
1780;4;apr;5.8
1780;5;mai;12.9
1780;6;jun;15.1
1780;7;jul;16.7
1780;8;aug;17.9
