"year","month","ts","time","temperature"
1750,1,1750.04,"1750-1-15 00:00:00",-0.4
1750,2,1750.12,"1750-2-15 00:00:00",3.3
1750,3,1750.21,"1750-3-15 00:00:00",6.4
1750,4,1750.29,"1750-4-15 00:00:00",8
1750,5,1750.38,"1750-5-15 00:00:00",12.2
1750,6,1750.46,"1750-6-15 00:00:00",15.5
1750,7,1750.54,"1750-7-15 00:00:00",18.5
1750,8,1750.62,"1750-8-15 00:00:00",16.8
1750,9,1750.71,"1750-9-15 00:00:00",13.4
1750,10,1750.79,"1750-10-15 00:00:00",6.1
1750,11,1750.88,"1750-11-15 00:00:00",NA
1750,12,1750.96,"1750-12-15 00:00:00",-0.2
1751,1,1751.04,"1751-1-15 00:00:00",-1.1
1751,2,1751.12,"1751-2-15 00:00:00",-2.5
1751,3,1751.21,"1751-3-15 00:00:00",5.1
1751,4,1751.29,"1751-4-15 00:00:00",6.4
1751,5,1751.38,"1751-5-15 00:00:00",NA
1751,6,1751.46,"1751-6-15 00:00:00",16.2
1751,7,1751.54,"1751-7-15 00:00:00",17.5
1751,8,1751.62,"1751-8-15 00:00:00",17.5
1751,9,1751.71,"1751-9-15 00:00:00",12.5
1751,10,1751.79,"1751-10-15 00:00:00",NA
1751,11,1751.88,"1751-11-15 00:00:00",NA
1751,12,1751.96,"1751-12-15 00:00:00",NA
1752,1,1752.04,"1752-1-15 00:00:00",-1.1
1752,2,1752.12,"1752-2-15 00:00:00",NA
1752,3,1752.21,"1752-3-15 00:00:00",4.3
1752,4,1752.29,"1752-4-15 00:00:00",7.3
1752,5,1752.38,"1752-5-15 00:00:00",NA
1752,6,1752.46,"1752-6-15 00:00:00",NA
1752,7,1752.54,"1752-7-15 00:00:00",NA
1752,8,1752.62,"1752-8-15 00:00:00",NA
1752,9,1752.71,"1752-9-15 00:00:00",NA
1752,10,1752.79,"1752-10-15 00:00:00",8.4
1752,11,1752.88,"1752-11-15 00:00:00",4.9
1752,12,1752.96,"1752-12-15 00:00:00",1.6
1753,1,1753.04,"1753-1-15 00:00:00",-3.2
1753,2,1753.12,"1753-2-15 00:00:00",-0.4
1753,3,1753.21,"1753-3-15 00:00:00",4.9
1753,4,1753.29,"1753-4-15 00:00:00",8.1
1753,5,1753.38,"1753-5-15 00:00:00",12.4
1753,6,1753.46,"1753-6-15 00:00:00",16.8
1753,7,1753.54,"1753-7-15 00:00:00",17.7
1753,8,1753.62,"1753-8-15 00:00:00",16
1753,9,1753.71,"1753-9-15 00:00:00",13.9
1753,10,1753.79,"1753-10-15 00:00:00",9
1753,11,1753.88,"1753-11-15 00:00:00",2.3
1753,12,1753.96,"1753-12-15 00:00:00",-1.2
1754,1,1754.04,"1754-1-15 00:00:00",-1.7
1754,2,1754.12,"1754-2-15 00:00:00",-1.7
1754,3,1754.21,"1754-3-15 00:00:00",0.3
1754,4,1754.29,"1754-4-15 00:00:00",6.9
1754,5,1754.38,"1754-5-15 00:00:00",13.3
1754,6,1754.46,"1754-6-15 00:00:00",15.8
1754,7,1754.54,"1754-7-15 00:00:00",16.1
