year,jan,feb,mar,apr,mai,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,avg
1750,-0.4,3.3,6.4,8,12.2,15.5,18.5,16.8,13.4,6.1,NA,-0.2,NA,8.866666667,16.93333333,NA,NA
1751,-1.1,-2.5,5.1,6.4,,16.2,17.5,17.5,12.5,NA,NA,NA,-1.266666667,NA,17.06666667,NA,NA
1752,-1.1,,4.3,7.3,NA,NA,NA,NA,NA,8.4,4.9,1.6,NA,NA,NA,NA,NA
1753,-3.2,-0.4,4.9,8.1,12.4,16.8,17.7,16,13.9,9,2.3,-1.2,-0.666666667,8.466666667,16.83333333,8.4,8.025
1754,-1.7,-1.7,0.3,6.9,13.3,15.8,16.1,16.9,13,9.5,4.3,0.4,-1.533333333,6.833333333,16.26666667,8.933333333,7.758333333
1755,-6,-4.7,2.3,10.5,12.2,18,17.6,15.7,12.4,7.8,3.4,1.2,-3.433333333,8.333333333,17.1,7.866666667,7.533333333
1756,1.7,2.2,4,6.5,11.6,18,18.4,16.2,14.6,8.3,1.6,-2.1,1.7,7.366666667,17.53333333,8.166666667,8.416666667
1757,-3,0.7,3.6,8.6,12.2,17.3,20.9,17.4,12.2,4.5,4.2,-1.3,-1.466666667,8.133333333,18.53333333,6.966666667,8.108333333
1758,-4.6,-0.5,3.3,6.3,13.9,16.7,15.5,17.1,11.8,6.5,3.93,0.6,-2.133333333,7.833333333,16.43333333,7.41,7.544166667
1759,1.4,2.1,4.3,7.7,11.6,16.7,19.5,17.5,13.5,9.3,0.5,-3.1,1.366666667,7.866666667,17.9,7.766666667,8.416666667
1760,-2.8,-0.9,2.1,8.2,12.8,16.9,17.7,16.8,14.6,8.6,3.8,2.9,-2.266666667,7.7,17.13333333,9,8.391666667
1761,-1.6,1.7,5,7.1,13.3,16.6,16.2,17.7,14.2,6.1,3,-3.3,1,8.466666667,16.83333333,7.766666667,8
1762,0.4,-0.6,0.1,9.6,12.9,15.7,17.3,14.9,12.6,5.9,2,-3.3,-1.166666667,7.533333333,15.96666667,6.833333333,7.291666667
1763,-6.7,2.1,1.5,6.5,10.6,15.5,17,17.4,11.7,6.4,3,2.1,-2.633333333,6.2,16.63333333,7.033333333,7.258333333
1764,2.1,2.6,1.6,6.5,13.8,15.8,18.3,15.2,10.9,6.5,2.3,-0.9,2.266666667,7.3,16.43333333,6.566666667,7.891666667
1765,0.4,-3.5,4.7,7.9,10.7,15.9,15.1,16.9,12.1,9,2.7,-1.3,-1.333333333,7.766666667,15.96666667,7.933333333,7.55
1766,-4.3,-1.7,3,9.1,12.8,15.7,16.3,16.5,13.5,7.9,3.2,-1.3,-2.433333333,8.3,16.16666667,8.2,7.558333333
1767,-7.2,2.7,2.7,5.6,10.4,14.1,16.3,16.9,13.4,8.5,5.6,-2.3,-1.933333333,6.233333333,15.76666667,9.166666667,7.225
1768,-5,-0.3,1.1,7.1,11.9,15.4,17.1,16.4,11.6,7.7,4.1,0.3,-2.533333333,6.7,16.3,7.8,7.283333333
1769,-0.3,-0.3,2.4,7.7,11.6,14.4,16.7,15.8,13.3,4.6,3.8,0.6,-0.1,7.233333333,15.63333333,7.233333333,7.525
1770,-1.6,-0.5,0,4.9,11.7,14.6,16,17,14.6,8.1,3.6,1.8,-0.5,5.533333333,15.86666667,8.766666667,7.516666667
1771,-2.4,-2.5,-0.5,3.5,14.2,15,16.4,15,12.8,8.6,1.8,1.4,-1.033333333,5.733333333,15.46666667,7.733333333,6.941666667
1772,-1.8,0.8,3.6,6.2,10,16.8,16.5,16.4,14.2,10.6,5.5,1,0.133333333,6.6,16.56666667,10.1,8.316666667
1773,1.1,-2.2,2.5,7.4,12.7,15,15.9,16.9,13.7,9.9,3.7,2.2,-0.033333333,7.533333333,15.93333333,9.1,8.233333333
1774,-1.4,0.9,5.1,8.8,12.1,16.3,16.3,16.7,11.9,8,-0.6,-2.2,0.566666667,8.666666667,16.43333333,6.433333333,7.658333333
1775,-1.4,2.9,4.2,6.3,10.6,17.6,17.3,17.8,14.7,8.8,2,-0.3,-0.233333333,7.033333333,17.56666667,8.5,8.375
1776,-7.9,1.3,4,7.1,10.1,15.5,17.5,16.7,12.2,7.5,2.5,-1.4,-2.3,7.066666667,16.56666667,7.4,7.091666667
1777,-3.1,-2.6,3.3,5.1,12,14.7,15.7,16.8,12.3,8.3,4.3,-1.3,-2.366666667,6.8,15.73333333,8.3,7.125
1778,-1.6,-1.9,2.8,9,13,15.8,19,17.7,11.7,6.9,4.4,3.7,-1.6,8.266666667,17.5,7.666666667,8.375
1779,-3.9,2.8,4.8,10,13.5,14.8,16.9,17.9,14.8,10.4,4.1,2.8,0.866666667,9.433333333,16.53333333,9.766666667,9.075
1780,-3.8,-3,5.8,5.8,12.9,15.1,16.7,17.9,13.1,9.4,3,-2,-1.333333333,8.166666667,16.56666667,8.5,7.575
1781,-2.3,0.7,4.1,9.1,13.2,17.6,17.6,19.1,14.8,7.7,4,0,-1.2,8.8,18.1,8.833333333,8.8
1782,1.3,-4.2,2,6.2,11.6,16.8,18.4,16.5,13.7,6.5,0.4,-0.9,-0.966666667,6.6,17.23333333,6.866666667,7.358333333
1783,1.7,3,1.7,8.3,13.1,16.9,19.1,17.5,14.3,9.3,3.3,-3,1.266666667,7.7,17.83333333,8.966666667,8.766666667
1784,-6.1,-3.5,1,4.8,14.1,16.1,16.9,16.1,14.6,5.1,4,-1.5,-4.2,6.633333333,16.36666667,7.9,6.8
1785,-2.1,-3,-3.7,4.3,11.5,14.6,16.1,15.6,14.9,7.8,3.7,-0.5,-2.2,4.033333333,15.43333333,8.8,6.6
1786,-1,-0.1,0.2,8.7,11.2,16.4,14.9,15.2,11.7,5.8,-0.3,-0.2,-0.533333333,6.7,15.5,5.733333333,6.875
1787,-2.8,1.2,4.2,6,10.4,16.1,16.1,16.6,12.6,9.7,3.5,2.2,-0.6,6.866666667,16.26666667,8.6,7.983333333
1788,0.5,-0.1,2.2,7.6,12.9,16.8,18.7,15.5,14.4,7.8,1.2,-9.8,0.866666667,7.566666667,17,7.8,7.308333333
1789,-4,1.7,-1.7,7.4,14.2,14.6,16.6,16.6,13.3,8,2.7,1.5,-4.033333333,6.633333333,15.93333333,8,7.575
1790,0.1,2.6,3.7,5.5,13.8,16,15.3,16.3,11.9,7.9,2.1,1.4,1.4,7.666666667,15.86666667,7.3,8.05
1791,2.2,0.7,3.8,9.3,11.3,14.9,16.6,17.7,12.2,7.9,1.6,0.3,1.433333333,8.133333333,16.4,7.233333333,8.208333333
1792,-0.9,-1.5,3.2,8.8,11.1,15.5,17.4,17.2,11.8,7.5,2.6,0.6,-0.7,7.7,16.7,7.3,7.775
1793,-2.7,1.8,2.4,5.5,10.9,13.8,18.4,17.1,12.1,9.7,3.5,1.8,-0.1,6.266666667,16.43333333,8.433333333,7.858333333
1794,-0.8,2.8,5.8,10.9,12.4,16.5,19.7,15.9,11.6,7.9,3.9,-2.8,1.266666667,9.7,17.36666667,7.8,8.65
1795,-8.3,-1.1,1.8,9.5,11.2,16.5,14.9,16.8,14.4,11.5,2.5,3,-4.066666667,7.5,16.06666667,9.466666667,7.725
1796,4.2,1.1,0,6.9,12.9,15.2,16.6,17.4,14.9,7.9,2.6,-2.8,2.766666667,6.6,16.4,8.466666667,8.075
1797,-0.1,0.5,1.9,8.9,14.1,14.5,18.7,17.9,14.1,8.5,3.2,1.6,-0.8,8.3,17.03333333,8.6,8.65
1798,-0.1,1.5,2.7,8.7,13.3,16.6,17,17.5,14.3,8.3,2.7,-4.4,1,8.233333333,17.03333333,8.433333333,8.175
