year,month,time,ts,m,temperature
1750,1,1750-1-15 00:00:00,1750.0416666666667,jan,-0.4
1750,2,1750-2-15 00:00:00,1750.125,feb,3.3
1750,3,1750-3-15 00:00:00,1750.2083333333333,mar,6.4
1750,4,1750-4-15 00:00:00,1750.2916666666667,apr,8
1750,5,1750-5-15 00:00:00,1750.375,may,12.2
1750,6,1750-6-15 00:00:00,1750.4583333333333,jun,15.5
1750,7,1750-7-15 00:00:00,1750.5416666666667,jul,18.5
1750,8,1750-8-15 00:00:00,1750.625,aug,16.8
1750,9,1750-9-15 00:00:00,1750.7083333333333,sep,13.4
1750,10,1750-10-15 00:00:00,1750.7916666666667,oct,6.1
1750,11,1750-11-15 00:00:00,1750.875,nov,NA
1750,12,1750-12-15 00:00:00,1750.9583333333333,dec,-0.2
1751,1,1751-1-15 00:00:00,1751.0416666666667,jan,-1.1
1751,2,1751-2-15 00:00:00,1751.125,feb,-2.5
1751,3,1751-3-15 00:00:00,1751.2083333333333,mar,5.1
1751,4,1751-4-15 00:00:00,1751.2916666666667,apr,6.4
1751,5,1751-5-15 00:00:00,1751.375,may,
1751,6,1751-6-15 00:00:00,1751.4583333333333,jun,16.2
1751,7,1751-7-15 00:00:00,1751.5416666666667,jul,17.5
1751,8,1751-8-15 00:00:00,1751.625,aug,17.5
1751,9,1751-9-15 00:00:00,1751.7083333333333,sep,12.5
1751,10,1751-10-15 00:00:00,1751.7916666666667,oct,NA
1751,11,1751-11-15 00:00:00,1751.875,nov,NA
1751,12,1751-12-15 00:00:00,1751.9583333333333,dec,NA
1752,1,1752-1-15 00:00:00,1752.0416666666667,jan,-1.1
1752,2,1752-2-15 00:00:00,1752.125,feb,
1752,3,1752-3-15 00:00:00,1752.2083333333333,mar,4.3
1752,4,1752-4-15 00:00:00,1752.2916666666667,apr,7.3
1752,5,1752-5-15 00:00:00,1752.375,may,NA
1752,6,1752-6-15 00:00:00,1752.4583333333333,jun,NA
1752,7,1752-7-15 00:00:00,1752.5416666666667,jul,NA
1752,8,1752-8-15 00:00:00,1752.625,aug,NA
1752,9,1752-9-15 00:00:00,1752.7083333333333,sep,NA
1752,10,1752-10-15 00:00:00,1752.7916666666667,oct,8.4
1752,11,1752-11-15 00:00:00,1752.875,nov,4.9
1752,12,1752-12-15 00:00:00,1752.9583333333333,dec,1.6
1753,1,1753-1-15 00:00:00,1753.0416666666667,jan,-3.2
1753,2,1753-2-15 00:00:00,1753.125,feb,-0.4
1753,3,1753-3-15 00:00:00,1753.2083333333333,mar,4.9
1753,4,1753-4-15 00:00:00,1753.2916666666667,apr,8.1
1753,5,1753-5-15 00:00:00,1753.375,may,12.4
1753,6,1753-6-15 00:00:00,1753.4583333333333,jun,16.8
1753,7,1753-7-15 00:00:00,1753.5416666666667,jul,17.7
1753,8,1753-8-15 00:00:00,1753.625,aug,16
1753,9,1753-9-15 00:00:00,1753.7083333333333,sep,13.9
1753,10,1753-10-15 00:00:00,1753.7916666666667,oct,9
1753,11,1753-11-15 00:00:00,1753.875,nov,2.3
1753,12,1753-12-15 00:00:00,1753.9583333333333,dec,-1.2
1754,1,1754-1-15 00:00:00,1754.0416666666667,jan,-1.7
1754,2,1754-2-15 00:00:00,1754.125,feb,-1.7
1754,3,1754-3-15 00:00:00,1754.2083333333333,mar,0.3
1754,4,1754-4-15 00:00:00,1754.2916666666667,apr,6.9
1754,5,1754-5-15 00:00:00,1754.375,may,13.3
1754,6,1754-6-15 00:00:00,1754.4583333333333,jun,15.8
1754,7,1754-7-15 00:00:00,1754.5416666666667,jul,16.1
1754,8,1754-8-15 00:00:00,1754.625,aug,16.9
1754,9,1754-9-15 00:00:00,1754.7083333333333,sep,13
1754,10,1754-10-15 00:00:00,1754.7916666666667,oct,9.5
1754,11,1754-11-15 00:00:00,1754.875,nov,4.3
1754,12,1754-12-15 00:00:00,1754.9583333333333,dec,0.4
1755,1,1755-1-15 00:00:00,1755.0416666666667,jan,-6
1755,2,1755-2-15 00:00:00,1755.125,feb,-4.7
1755,3,1755-3-15 00:00:00,1755.2083333333333,mar,2.3
1755,4,1755-4-15 00:00:00,1755.2916666666667,apr,10.5
1755,5,1755-5-15 00:00:00,1755.375,may,12.2
1755,6,1755-6-15 00:00:00,1755.4583333333333,jun,18
1755,7,1755-7-15 00:00:00,1755.5416666666667,jul,17.6
1755,8,1755-8-15 00:00:00,1755.625,aug,15.7
1755,9,1755-9-15 00:00:00,1755.7083333333333,sep,12.4
1755,10,1755-10-15 00:00:00,1755.7916666666667,oct,7.8
1755,11,1755-11-15 00:00:00,1755.875,nov,3.4
1755,12,1755-12-15 00:00:00,1755.9583333333333,dec,1.2
1756,1,1756-1-15 00:00:00,1756.0416666666667,jan,1.7
1756,2,1756-2-15 00:00:00,1756.125,feb,2.2
1756,3,1756-3-15 00:00:00,1756.2083333333333,mar,4
1756,4,1756-4-15 00:00:00,1756.2916666666667,apr,6.5
1756,5,1756-5-15 00:00:00,1756.375,may,11.6
1756,6,1756-6-15 00:00:00,1756.4583333333333,jun,18
1756,7,1756-7-15 00:00:00,1756.5416666666667,jul,18.4
1756,8,1756-8-15 00:00:00,1756.625,aug,16.2
1756,9,1756-9-15 00:00:00,1756.7083333333333,sep,14.6
1756,10,1756-10-15 00:00:00,1756.7916666666667,oct,8.3
1756,11,1756-11-15 00:00:00,1756.875,nov,1.6
1756,12,1756-12-15 00:00:00,1756.9583333333333,dec,-2.1
1757,1,1757-1-15 00:00:00,1757.0416666666667,jan,-3
1757,2,1757-2-15 00:00:00,1757.125,feb,0.7
1757,3,1757-3-15 00:00:00,1757.2083333333333,mar,3.6
1757,4,1757-4-15 00:00:00,1757.2916666666667,apr,8.6
1757,5,1757-5-15 00:00:00,1757.375,may,12.2
1757,6,1757-6-15 00:00:00,1757.4583333333333,jun,17.3
1757,7,1757-7-15 00:00:00,1757.5416666666667,jul,20.9
1757,8,1757-8-15 00:00:00,1757.625,aug,17.4
1757,9,1757-9-15 00:00:00,1757.7083333333333,sep,12.2
1757,10,1757-10-15 00:00:00,1757.7916666666667,oct,4.5
1757,11,1757-11-15 00:00:00,1757.875,nov,4.2
1757,12,1757-12-15 00:00:00,1757.9583333333333,dec,-1.3
